source,edge,target,sentence,edge-comments,label
one child,if there's a bulk of children unvaccinated then it is potentially catastrophic,whooping cough,one child if there's a bulk of children unvaccinated then it is potentially catastrophic whooping cough,said Samantha Page,pos
studies,still cost,money,studies still cost money,,pos
scientists,saw same phenomenon of,measles vaccine,scientists saw same phenomenon of measles vaccine,in England and in parts of Europe,pos
shingles vaccine ingredients,virtually the same as,flu shot ingredients,shingles vaccine ingredients virtually the same as flu shot ingredients,,neg
death from stomach ulcers,more common than,measles mortality,death from stomach ulcers more common than measles mortality,before measles vaccine,neg
shingles,or,Herpes Zoster,shingles or Herpes Zoster,,neg
Richard Pan,altered SB 277 with,proposed restrictions,Richard Pan altered SB 277 with proposed restrictions,to make it possible for multiple families to join in home-schooling unvaccinated children,neu
fence-sitters,are,hesitant parents,fence-sitters are hesitant parents,,pos
Tina Kimmel,is former,scientist,Tina Kimmel is former scientist,with CA Department of Public Health,neu
children with autism,excessive,drownings,children with autism excessive drownings,,neg
children,hundreds brain damaged by,pandemic H1N1 swine flu vaccine,children hundreds brain damaged by pandemic H1N1 swine flu vaccine,,neg
anti-vaccination website,has someone looking to make a buck selling,books,anti-vaccination website has someone looking to make a buck selling books,says Dr. Mark Schleiss,pos
HPV vaccine,let's not make it about,sex,HPV vaccine let's not make it about sex,,pos
Bruesewitz v. Wyeth,decision took away any ability for an individual to hold accountable,vaccine industry,Bruesewitz v. Wyeth decision took away any ability for an individual to hold accountable vaccine industry,,neg
mainstream media,champions,SB 277,mainstream media champions SB 277,,neg
MTHFR C677T defect,never take,folic acid,MTHFR C677T defect never take folic acid,,neg
states,vaccination rates vary but generally remain,high vaccination rates,states vaccination rates vary but generally remain high vaccination rates,,pos
widespread health problems,currently affecting our,children,widespread health problems currently affecting our children,,neg
Wakefield study,was fraudulent and,retracted,Wakefield study was fraudulent and retracted,Lancet study,pos
infection,of cervix is,high-risk types of HPV,infection of cervix is high-risk types of HPV,,pos
meningococcal vaccine,recommended for all,teens,meningococcal vaccine recommended for all teens,,pos
vaccines,more and more is atypical manipulation of,immune system,vaccines more and more is atypical manipulation of immune system,,neg
additives,regulated by,FDA,additives regulated by FDA,,neg
Congress,pledged to protect,vaccine industry,Congress pledged to protect vaccine industry,,neg
flu vaccine recall,means the vaccine no longer meets GSK specifications because of reduced,vaccine potency,flu vaccine recall means the vaccine no longer meets GSK specifications because of reduced vaccine potency,,pos
vaccination exemptions,are apparently viewed by the vaccine industry as unfair,market practices,vaccination exemptions are apparently viewed by the vaccine industry as unfair market practices,,neg
religious groups,opposed to getting vaccinated include some,Amish,religious groups opposed to getting vaccinated include some Amish,,pos
autism,severity does not differ between,vaccinated children and unvaccinated children,autism severity does not differ between vaccinated children and unvaccinated children,says Dr. Bryan King,pos
what we already knew,was true,MMR vaccine safety,what we already knew was true MMR vaccine safety,,pos
vaccination,dramatically increasing number has made richer,vaccine industry,vaccination dramatically increasing number has made richer vaccine industry,,neg
WHO,launched contrived,swine flu panic campaign,WHO launched contrived swine flu panic campaign,,neg
ACIP,recommends,injection of carcinogenic chemicals,ACIP recommends injection of carcinogenic chemicals,,neg
meningococcal disease,most aren't linked to other,other meningococcal disease cases,meningococcal disease most aren't linked to other other meningococcal disease cases,,pos
injecting any substance,bypasses the protections of the,respiratory system,injecting any substance bypasses the protections of the respiratory system,,neg
United States,688 people in 27 states in 2014 contracted,measles,United States 688 people in 27 states in 2014 contracted measles,,pos
National Vaccine Injury Compensation Program,is,time-consuming,National Vaccine Injury Compensation Program is time-consuming,,neg
good plumbing,saves lives more than,vaccines,good plumbing saves lives more than vaccines,,neg
Nichole Rolfe,actually questioned these and other,blatant violations of the Hippocratic Oath,Nichole Rolfe actually questioned these and other blatant violations of the Hippocratic Oath,,neg
children with family history of autism,researchers found no association for,vaccine-autism link,children with family history of autism researchers found no association for vaccine-autism link,MMR,pos
vaccination exemption,types include,philosophical exemption,vaccination exemption types include philosophical exemption,,pos
studies,numerous show no,vaccine-autism link,studies numerous show no vaccine-autism link,MMR,pos
vaccine industry,use mercury at the expense of the,children,vaccine industry use mercury at the expense of the children,,neg
mandatory flu shots,battle over bill for health care workers in,New York,mandatory flu shots battle over bill for health care workers in New York,,neg
pandemic H1N1 swine flu vaccine,causes,narcolepsy,pandemic H1N1 swine flu vaccine causes narcolepsy,in hundreds of children,neg
critical thinking,simply isn't acceptable in a,lemming society,critical thinking simply isn't acceptable in a lemming society,,neg
genetic predisposition,need to know what they are before subjected to,vaccine preservative,genetic predisposition need to know what they are before subjected to vaccine preservative,,neg
thimerosal,used as,preservative,thimerosal used as preservative,,neg
vaccine reaction,learn how to recognize symptoms and prevent,vaccine injuries,vaccine reaction learn how to recognize symptoms and prevent vaccine injuries,,neg
Jain study,hope helps to end the movement of,anti-vaccination,Jain study hope helps to end the movement of anti-vaccination,,pos
new strategies,can push past,herd immunity,new strategies can push past herd immunity,,pos
mainstream media,is largely funded by,vaccine industry,mainstream media is largely funded by vaccine industry,,neg
people,most feel afraid of,anti-vaccination,people most feel afraid of anti-vaccination,,neg
heightened risk of narcolepsy,study indicates 13-fold in,vaccinated children,heightened risk of narcolepsy study indicates 13-fold in vaccinated children,reports International Business Times,neg
